기간,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2016/10,합계,70.75876709,68.34078613,78.25628445,90.00923578,81.81607974,83.94211224,73.1622635,72.8179902,75.2228667,80.1065727,80.2674257,73.0939742,73.3189506,96.1208593,73.05982893,73.742471
2016/09,합계,67.0335952,69.232341,78.62563499,126.24816628,88.84805511,89.07143285,70.6334614,74.9530075,73.5514967,79.462342,82.7980566,69.1877844,71.7830294,96.0248796,70.40084483,74.56287659
2016/08,합계,60.55503309,69.93531478,83.16109276,128.35063412,94.66374508,99.28042534,70.8556382,71.6370717,75.3896623,78.1969056,87.9440747,69.9925968,71.3475049,95.8892038,70.93128004,74.67033058
2016/07,합계,57.86798634,66.99859648,78.80977823,103.11394635,91.97647535,101.88994361,66.2208738,66.9322812,70.4017486,72.3851885,78.3642564,65.1662023,66.6935816,95.0417247,66.12712992,71.7856486
2016/06,합계,54.42535877,63.44039013,74.61984044,98.51163718,84.81662438,91.5360244,64.9079747,66.0733534,67.0079773,69.3668966,77.8858181,64.1601363,65.3373855,95.1060679,64.83629349,66.74544422
2016/05,합계,52.33894682,61.17166782,73.86930639,80.29941028,77.76084981,81.62013288,68.273778,72.4813433,69.4550546,69.2607851,73.6459541,68.2418931,68.0590181,95.3765469,68.14009374,62.85318431
2016/04,합계,57.91889862,66.1240326,82.09959441,87.23452923,86.23640359,95.82758005,75.13459,0,74.7041589,75.6724769,80.9722696,74.8122004,74.9311882,96.0784535,74.92838318,68.33472418
2016/03,합계,72.53424974,79.80331289,99.48166646,108.55275886,110.8601469,124.06297936,87.1510607,0,87.2468548,86.7980508,97.981191,87.3840137,87.0930101,97.11593,86.92291452,86.37264847
2016/02,합계,73.18803356,81.54985719,104.61851524,114.20613763,115.30886417,126.04974476,86.572312,93.6799993,84.3339392,86.96695,102.1912616,84.2187869,86.3306595,97.0005862,87.80803748,88.45106712
2016/01,합계,78.18521329,86.08053271,108.88798943,121.76628495,121.70577067,138.72819851,89.9194473,90.6694993,90.4251969,92.0125757,108.6188622,91.0983231,90.031337,97.5194004,89.05262619,94.10576771
2015/12,합계,74.62369018,82.66081699,90.44177276,129.70273941,130.56542277,139.82884547,107.8052919,0,208.8377394,96.8666263,109.9777541,94.7275354,94.9486473,98.2757326,94.8390009,92.65500705
2015/11,합계,69.43578059,77.91267932,86.71075692,119.0518109,119.25516157,129.35932066,137.241821,0,98.0849571,96.7657295,102.4025446,95.8743037,94.7641979,85.9514945,94.27784936,85.03442184
2015/10,합계,67.20948627,76.99599876,82.3926886,121.56873669,109.04135438,121.91769023,97.9341142,0,211.9372933,99.2265751,106.3100061,98.0388981,97.9848695,98.6757764,97.98942047,82.70632728
2015/09,합계,63.70032092,74.52446408,81.27947704,167.3663622,111.89648392,115.21358587,99.9359591,0,93.3832236,99.6579782,100.1784735,84.635043,88.1229684,97.7367706,88.76428725,81.46242302
2015/08,합계,64.87082552,73.85501134,82.11313895,196.31622751,111.90606772,112.76081595,105.5485274,0,94.2535427,96.0592646,101.5806285,85.0872361,87.9282235,97.5314529,86.80709534,82.24847592
2015/07,합계,61.83515481,70.96446361,84.30807601,279.54751805,117.08600638,113.97758733,81.1205257,0,90.4376202,91.9584256,95.3806641,78.0732355,81.1558733,96.4156455,80.11093502,78.47895216
2015/06,합계,46.42496669,76.13985273,97.56937512,193.95196838,107.44311189,141.41059868,134.0499386,0,459.6504377,95.1981382,95.9177858,82.1787353,105.4642401,97.2242989,82.78688525,76.53708432
2015/05,합계,46.09383814,51.89822958,104.65298709,132.6054599,105.81189197,122.65539607,98.482715,0,99.7566696,103.659371,101.5275676,95.4239733,103.5455749,98.4538339,95.62923888,65.47015264
2015/04,합계,50.0235759,54.08045905,112.45311935,129.32599779,113.94793352,130.09017306,121.1135138,0,145.8354702,109.0584152,109.1585991,103.2841614,149.0300516,99.2132486,102.71493213,70.72086522
2015/03,합계,62.34463217,64.92289542,134.23203696,145.08296889,142.12556932,145.68658243,123.5058801,0,153.0227093,118.291241,130.4646802,118.1807103,118.0776247,101.3351949,117.79744346,88.73374275
2015/02,합계,64.90546482,67.43956122,143.15184249,182.0172113,153.34391077,160.31808625,118.5077693,0,245.9985267,127.4974979,138.9336418,112.5170674,193.5742797,99.0787965,116.69941061,92.78241573
2015/01,합계,76.56840959,73.84935601,164.3736242,214.86128663,169.66174905,179.2937291,140.1312892,0,142.0864711,146.7581384,160.9104086,140.1279575,140.2961782,106.5225753,139.43789665,104.22782561
2014/12,합계,44.34461076,62.89287502,92.71964321,203.28704687,159.0671703,167.13194327,147.5366656,0,213.3768809,149.0109883,155.1429518,143.3945821,216.438575,130.89818,142.95366795,89.9383922
2014/11,합계,52.85629378,65.89022694,89.90670848,243.615897,148.97469466,153.17896928,170.4344157,0,146.4387174,144.5534844,141.916235,132.828115,133.1052375,123.3074701,132.68450933,88.07471337
2014/10,합계,52.17421426,63.99527541,90.65210828,280.98746076,148.68646042,147.8492607,161.4889269,0,219.0904771,145.7302001,140.3382419,131.2390336,131.5459121,122.1831948,131.37614679,85.83666765
2014/09,합계,49.92178616,64.25722387,91.67868727,233.18906045,154.73598973,154.81854029,128.3049622,0,171.8900677,149.5646721,139.5955913,123.0554633,128.4351863,94.4694726,136.73469388,86.13366193
2014/08,합계,54.56709575,62.34650782,90.99789334,345.45043412,166.53128794,161.70948477,176.0742197,0,145.7949017,140.2772237,145.7899805,121.546275,126.4205328,90.7205206,127.88732394,83.86576791
2014/07,합계,58.94875987,65.26974523,96.64169845,221.78182052,172.5259161,181.25212207,140.307393,0,250.6449001,148.8306462,164.8609629,136.5287113,140.5426101,94.8382189,147.39884393,93.27167505
2014/06,합계,52.87215004,74.96665344,83.85882811,210.17114184,158.44389434,164.1142545,202.403315,0,587.7630954,145.6541523,149.4511073,132.9184358,231.0995941,93.302092,141.29213483,90.98881038
2014/05,합계,55.35317858,61.55133148,82.86861851,210.00273012,160.38605152,172.66366492,143.0712619,0,149.8514971,150.4273345,156.4653543,142.0351034,143.5508101,97.9883891,146.35364635,85.90452792
2014/04,합계,57.49358965,63.206557,88.11975553,219.92270062,161.30110009,180.6070442,159.5384796,0,167.2088235,163.3447891,163.3900327,149.0946171,149.9541248,98.8297154,148.34874505,90.37359544
2014/03,합계,61.37187646,66.19281302,95.15044535,201.12217453,173.00908515,198.05244629,169.2775338,0,169.9400102,173.3628398,180.3732538,160.8581975,206.1338133,101.2028127,162.10902592,100.00938708
2014/02,합계,57.61622733,63.80917607,94.43435921,201.65966201,165.02327211,201.01158508,151.1975951,0,245.1106101,167.9419807,173.787295,148.9800045,151.2040485,100.3243996,149.73913043,95.02653766
2014/01,합계,58.89224004,66.88606766,94.7362637,226.92833788,162.22239658,190.89796782,146.7222554,0,175.0847559,152.8491682,165.9630256,138.546602,140.727411,96.0438241,138.78691141,95.16022875
2013/12,합계,12.84203113,46.01305471,70.60039715,203.70602643,153.99877686,192.98480202,159.3582401,0,207.425635,159.7440651,166.1212015,148.9389103,148.4058037,100.3661689,146.51539708,76.13118841
2013/11,합계,19.46068849,47.72363565,74.6395266,208.32885806,148.33996462,179.13655292,147.2646867,0,151.7190837,155.02123,160.294775,143.5230096,144.4233392,92.7640028,143.49710983,76.39503635
2013/10,합계,29.15562859,53.09668371,89.43712755,215.44236857,161.62013448,193.9114283,158.7440802,0,186.2228313,169.7161442,172.0489664,151.0793855,155.31437,98.8130739,164.78873239,83.30091547
2013/09,합계,26.65035773,54.58357515,85.20039457,231.97828757,158.26669867,178.21927182,180.1791131,0,221.5479818,154.3445891,149.161946,123.6110509,181.0666044,91.1683207,,74.5233547
2013/08,합계,32.72627349,56.82661138,94.51862715,232.63129829,166.90398968,211.41468415,150.9993703,0,163.3121247,156.300564,168.7443008,150.9524569,152.3092689,90.4999509,,87.36958815
2013/07,합계,52.48469948,67.28927812,102.9004044,227.78421647,169.92085399,228.36444142,151.7940696,0,166.8265486,162.5725517,168.0465285,147.48837,150.9979348,102.2055255,,98.27168824
2013/06,합계,48.84956812,63.24140628,90.15944843,229.8655213,162.37215196,214.57480328,154.1877259,0,167.1739433,171.0903467,174.0569565,149.1902778,154.7058249,102.3435207,,94.19890626
